judul,sub_judul,isi,tanggal,jam,kategori
Program MBG di Papua Pegunangan Hanya untuk Sekolah Berasrama,Program MBG di Papua Pegunungan tidak diberikan di sekolah non-asrama.,"TEMPO.CO,Jakarta- Gubernur Papua Pegunungan John Tabo mengatakan pemerintah daerah akan menjalankan programMakan Bergizi Gratis(MBG) di Papua Pegunungan. Program tersebut hanya diberikan untuk sekolah asrama di Papua Pegunungan. Sedangkan, sekolah non-asrama tidak mendapatkan program makan gratis tersebut.

Pilihan editor:Mengapa Proyek Makan Bergizi Gratis Kisruh Melulu

""Kami akan menggunakan pola asrama (dalam menerepkan MBG). Jadi, tidak diterapkan di sekolah,"" kata dia di Istana Negara, Jakarta, Kamis, 17 April 2025.

Dia mengatakan akan fokus untuk meningkatkan pendidikan dan kesehatan masyarakat Papua. Dia meyakini MBG merupakan gagasan Presiden Prabowo Subianto untuk mengatasi masalah itu.

Dia pun menganggap biasa adanya penolakan MBG di sejumlah daerah Papua Pegunungan. Dia menuduh orang-orang itu tak dapat bagian dalam MBG. Namun, dia tak menjelaskan bagian apa yang dimaksud. ""Menolak biasa. Orang mau dapat bagian,"" kata dia.",17 April 2025,17.29 WIB,Pendidikan
Mitra Makan Bergizi Gratis Belum Dibayar di Kalibata Beroperasi Lagi Hari Ini,"Namun, ia mengestimasi porsi Makan Bergizi Gratis yang disiapkan pada hari ini tidak bisa mencapai target maksimal, yaitu untuk 3.500 orang.","TEMPO.CO,Jakarta- Mitra dapur umumMakan Bergizi Gratis(MBG) di Satuan Pelayanan Pemenuhan Gizi (SPPG) Kalibata, Jakarta Selatan, kembali menyiapkan menu pada hari ini, Kamis, 17 April 2025. SPPG itu sempat berhenti memasok MBG sejak libur lebaran karena yayasan diduga menahan pembayaran kepada mitra dapur umum.

Kuasa hukum mitra dapurMBGIra Mesra, Danna Harly Putra, memastikan SPPG beroperasi kembali. ""Bu Ira sudah bisa lanjut menyediakan dan melanjutkan program Pak Prabowo,"" kata Danna saat dihubungi pada Kamis, 17 April 2025.

Danna mengirimkan dua buah foto yang menunjukkan sejumlah kotak makan berisi menu makanan dan minuman probiotik. Menurut Danna foto itu dikirim oleh Ira Mesra pada hari ini.

""Kalau menu dan sebagainya itu ke Kepala SPPG, karena saya perjuangkan hak hukumnya saja untuk Bu Ira,"" ucap Danna saat ditanya apa saja isi kotak makan MBG yang disiapkan hari ini. Ia menegaskan tidak ikut campur dalam teknis dapur diSPPGKalibata.

Namun, ia mengestimasi porsi yang disiapkan pada hari ini tidak bisa mencapai target maksimal, yaitu untuk 3.500 orang. ""Karena ini memang mendadak,"" ucapnya.",17 April 2025,08.39 WIB,Pendidikan
Mengapa Proyek Makan Bergizi Gratis Kisruh Melulu,Kekisruhan program makan bergizi gratis terus terjadi. Badan Gizi Nasional berjanji memperbaiki sistemnya.,"MULAI hari ini, dapur umum programmakan bergizi gratisdi Satuan Pelayanan Pemenuhan Gizi atau SPPG milik Ira Mesra Destiawati akan beroperasi kembali. Dapur yang dikelola Ira itu sebelumnya tutup sejak libur Lebaran 2025. Padahal mereka harus melayani pemberian makan bergizi gratis untuk murid-murid sekolah yang ada di bawah SPPG Kalibata, Jakarta Selatan.",17 April 2025,06.00 WIB,Politik
BGN Mediasi Sengketa Pembayaran Mitra MBG dan Yayasan di SPPG Kalibata,Kepala BGN Dadan Hindayana mengatakan mediasi sudah berlangsung sejak kemarin dan berlanjut sampai hari ini.,"TEMPO.CO,Jakarta- Badan Gizi Nasional sedang memediasi sengketa pembayaran antara mitra dapur dan yayasan berinisial MBN dalam programMakan Bergizi Gratisdi Satuan Pelayanan Pemenuhan Gizi (SPPG) Kalibata, Jakarta Selatan.

Kepala Badan Gizi Nasional Dadan Hindayana mengatakan mediasi sudah berlangsung sejak kemarin dan berlanjut sampai hari ini. “Yayasan (MBN) dan Kepala SPPG sudah dari pagi di BGN. Pemilik infrastruktur (pelapor) siang baru akan hadir,” kata Dadan saat dikonfirmasiTempo, 16 April 2025.

Dadan mengatakan kasus penundaan pembayaran MBG di SPPG Kalibata adalah masalah internal mitra. Kewajiban BGN dalam pembayaran, kata Dadan, sebetulnya sudah tuntas.

Dadan enggan membeberkan apakah SPPG Kalibata terus beroperasi karena kasus ini. Ia mengatakan pihaknya akan menunggu penyelesaian kasus ini terlebih dahulu.

“Sementara kita selesaikan dulu problem diantara mereka sambil BGN ambil langkah lainnya,” ujarnya.",16 April 2025,15.25 WIB,Politik
Mitra Dapur Makan Bergizi Gratis Bakal Lapor ke Polisi Karena Belum Dibayar Sepeser Pun,Tidak ditemukan,Tidak ditemukan,16 April 2025,12.00 WIB,Video
Mitra Dapur Makan Bergizi Gratis Ungkap Ada Perbedaan Harga per Porsi untuk PAUD Hingga Kelas 3 SD,Mitra dapur Makan Bergizi Gratis mengaku belum dibayar oleh pihak yayasan kendati telah menyediakan makanan sejak Februari 2025.,"TEMPO.CO,Jakarta- Mitra dapurMakan Bergizi Gratisdi Satuan Pelayanan Pemenuhan Gizi atau SPPG Kalibata, Jakarta Selatan, mengaku belum mendapatkan bayar sepeser pun sejak beroperasi pada Februari 2025. Kuasa Hukum Danna Harly Putra mengatakan kliennya, Ira Mesra, rela menjual berbagai aset untuk modal menjadi mitra dalam program tersebut.

""Menyesalkan tindakan Yayasan MBN yang tidak membayarkan sepeser pun hak dari Ibu Ira selaku mitra dapur Makan Bergizi Gratis di Kalibata,"" kata Harly saat konferensi pers di Kalibata pada Selasa, 15 April 2025.

Harly menyebutkan bahwa total kerugian yang dialami kliennya mencapai Rp975.375.000. Kerugian tersebut dihitung berdasarkan jumlah sekitar 65.025 porsi yang telah dimasak oleh Ira sebagai mitra, yang dikerjakan dalam dua tahap.

Selain itu, Harly menyampaikan bahwa sejak awal, kliennya tidak mengetahui adanya perbedaan harga per porsi nasi yang disediakan untuk jenjang PAUD, TK, hingga SD. Rinciannya, untuk PAUD, TK, dan SD kelas 1 sampai 3, harga per porsi adalah Rp13.000, sedangkan untuk kelas 4 hingga 6 sebesar Rp15.000. Sementara itu, dalam perjanjian kontrak disebutkan bahwa biaya per porsi untuk semua jenjang pendidikan adalah sebesar Rp15.000.

Ira baru mengetahui adanya perbedaan harga tersebut setelah dapur sudah beroperasi. Masalahnya, ia terlanjur menyajikan makanan untuk jenjang PAUD, TK, dan SD kelas 1 hingga 3 dengan kualitas porsi senilai Rp15.000, padahal seharusnya harga per porsi untuk jenjang tersebut hanya sebesar Rp13.000. Harly juga mengatakan dari harga tersebut masih mendapatkan potongan sebesar Rp 2.500 setiap porsinya.",16 April 2025,05.37 WIB,Kriminal
Mitra Dapur Makan Bergizi Gratis Bakal Lapor ke Polisi Karena Belum Dibayar Sepeser Pun,Mitra dapur Makan Bergizi Gratis sudah keluar uang hampir Rp 1 miliar untuk pengadaan makan bergizi gratis. Belum dibayar sepeser pun.,"TEMPO.CO,Jakarta- Mitra dapur programMakan Bergizi Gratisdi Satuan Pelayanan Pemenuhan Gizi (SPPG) Kalibata, Jakarta Selatan, berencana menempuh jalur hukum setelah mengalami kerugian hampir Rp1 miliar atau tepatnya Rp975.375.000. Kuasa hukum Danna Harly Putra menjelaskan bahwa kerugian tersebut dialami karena kliennya, Ira Mesra, selaku mitra belum menerima pembayaran sepeser pun sejak dapur mulai beroperasi pada Februari 2025.

Harly mengatakan langkah hukum tersebut berupa gugatan perdata dan membuat laporan ke kepolisian. ""Maka terhadap tindakan yayasan yang tidak membayarkan sepeser pun hak klien kami dalam pelaksanaan Makan Bergizi Gratis ini, kami akan mengambil langkah hukum,"" kata Harly saat konferensi pers di Kalibata pada Selasa, 15 April 2025.

Harly dan kliennya berharap langkah hukum ini bisa menjadi perhatian bagi pemerintah untuk lebih mengawasi pelaksanaan program Makan Bergizi Gratis. Harly juga mendorong agar evaluasi terhadap program ini dilakukan secara berkala.

""Agar kejadian seperti ini tidak terulang lagi. Dan juga kami harap mohon segera diluncurkan tempat aduan untuk program MBG,"" ujar dia.

Harly merinci kerugian yang hampir satu miliar rupiah itu dihitung berdasarkan jumlah sekitar 65.025 porsi yang telah dimasak oleh Ira sebagai mitra, yang dikerjakan dalam dua tahap.",16 April 2025,05.24 WIB,Kriminal
Menteri Wihaji Suapi Anak-anak saat Tinjau Pemberian MBG,Tidak ditemukan,Tidak ditemukan,15 April 2025,14.00 WIB,Foto
Pelaksanan Makan Bergizi Gratis di SMA Kota Bandung,Tidak ditemukan,Tidak ditemukan,14 April 2025,16.30 WIB,Foto
Mensos Bicara Sinergi Sekolah Rakyat dengan MBG,Menteri Sosial mengatakan penyelenggaraan Sekolah Rakyat akan bersinergi dengan program MBG untuk memastikan pemenuhan gizi murid.,"PEMERINTAH akan mengoperasikanSekolah Rakyatmulai Juli 2025 atau tahun ajaran baru 2025/2026. Untuk tahap awal, Kementerian Sosial (Kemensos) sebagai penanggung jawab program tersebut akan mengoperasikan Sekolah Rakyat untuk tingkat sekolah menengah atas (SMA). Namun Presiden Prabowo Subianto menargetkan agar cakupan pendidikan diperluas hingga jenjang sekolah dasar (SD) dan sekolah menengah pertama (SMP).

Sebagai persiapan, Tim Formatur Sekolah Rakyat yang dipimpin Mohammad Nuh akan merekrut guru dan murid mulai April ini. Menteri Sosial (Mensos) Saifullah Yusuf atau Gus Ipul mengatakan pemerintah butuh lebih dari 1.000 guru di 53 lokasi Sekolah Rakyat yang sudah siap beroperasi.

Sekolah Rakyat adalah salah satu program gagasan Presiden Prabowo Subianto. Tujuan utamanya menyediakan pendidikan gratis dan berkualitas bagi anak-anak yang berasal dari keluarga tidak mampu dengan harapan mereka dapat meningkatkan kualitas hidup dan berperan sebagai agen perubahan di tengah masyarakat guna memutus mata rantai kemiskinan.

Sekolah ini dirancang menyerupai sekolah asrama atauboarding school. Seluruh biaya pendidikan Sekolah Rakyat, mulai dari seragam, makan, asrama, peralatan sekolah, dan lainnya, akan ditanggung negara 100 persen alias gratis.

Menteri Sosial (Mensos) Saifullah Yusuf atau Gus Ipul mengatakan penyelenggaraan Sekolah Rakyat nantinya siap bersinergi dengan program Makan Bergizi Gratis (MBG) guna memastikan pemenuhan gizi murid.

“Otomatis nanti kalau sudah jalan Sekolah Rakyat, makan siangnya itu nanti mengikutkan program MBG, kami sudah koordinasi. Ya untuk siang saja, makan pagi sama sorenya kami siapkan tersendiri,” kata Mensos setelah kegiatan apel pagi di kantor Kemensos, Salemba, Jakarta Pusat pada Selasa, 8 Maret 2025.

Gus Ipul menuturkan pihaknya sudah berkoordinasi dengan kementerian dan lembaga terkait guna mengupayakan sinergi dengan program MBG dapat berlangsung di seluruh Sekolah Rakyat.

Sebelumnya, Mensos dan Kepala Badan Gizi Nasional (BGN) Dadan Hindayana mengonfirmasi siswa Sekolah Rakyat akan mendapatkan makan siang dari program MBG, sama seperti di sekolah-sekolah lainnya. “Ya, dapat (MBG) dong. Sekali saja, kan yang pagi sama sore disediakan oleh kami,” kata Sekretaris Jenderal Pengurus Besar Nahdlatul Ulama (PBNU) itu ketika dihubungiTempolewat sambungan telepon pada Kamis, 27 Maret 2025.

Penyaluran MBG ke Sekolah Rakyat saat ini masih berupa rencana, mengingat proses pembangunan sekolah tersebut masih berjalan. Saat ini, 53 lokasi di berbagai daerah Indonesia siap dijadikan Sekolah Rakyat.

Dadan Hindayana membenarkan MBG akan diberikan kepada siswa Sekolah Rakyat. “Iya, betul. Persiapan akan sejalan dengan kegiatan Sekolah Rakyat,” ujar Dadan lewat pesan singkat pada Kamis, 27 Maret 2025.

Mensos menuturkan pihaknya sedang mematangkan petunjuk teknis (juknis) untuk tahap rekrutmen guru dan murid program Sekolah Rakyat yang akan dimulai pada April ini.

Dia mengatakan akan berkoordinasi dengan Kemendikdasmen pada Selasa, 8 April 2025, untuk memfinalkan draf juknis tersebut. “Drafnya sudah jadi, ada 100 halaman lebih untuk rekrutmen guru, murid, dan lainnya,” kata Mensos setelah apel pagi di Kantor Kemensos, Salemba, Jakarta Pusat, Selasa.

Pihaknya juga sedang memetakan dan melakukan simulasi mengenai sasaran calon guru dan murid yang masuk dalam syarat serta tinggal di sekitar 53 lokasi yang sudah siap untuk melaksanakan program Sekolah Rakyat pada tahun ajaran baru nanti.

Gus Ipul menjelaskan pihaknya bersama kementerian terkait sudah melakukan pemetaan awal perihal keluarga yang berada pada kategori miskin ekstrem (desil 1) pada Data Tunggal Sosial Ekonomi Nasional (DTSEN) yang memiliki anak usia sekolah pada jenjang SD, SMP, dan SMA. “Sekarang juga sudah dimulai pemetaan, misalnya di sekitar Sekolah Rakyat, kami potret keluarga yang masuk desil 1, desil 2. Kemudian setelah masuk di kategori itu, kami lihat apakah mereka memiliki anak usia SD, SMP atau SMA,” kata dia.

Mengenai jadwal pelaksanaan rekrutmen, dia menyebutkan pihaknya sedang berupaya mengebut proses penyusunan juknis maupun pemetaan tersebut sehingga tahap rekrutmen guru dan murid dapat tetap dimulai pada April ini sebagaimana rencana awal.

“Kami mulai insyaallah di bulan April, doakan saja. Kalau misalnya untuk 53 Sekolah Rakyat itu sudah dapat gambaran sasarannya, baru nanti ada wawancara keluarga, tes kesehatan, administrasi,” kata Gus Ipul, yang memastikan Sekolah Rakyat berjalan setelah seluruh konsep serta tahapan perencanaan selesai dan matang.

Sementara itu, Menteri Pendidikan Dasar dan Menengah Abdul Mu’ti mengatakan para guru yang mengajar di Sekolah Rakyat akan direkrut melalui skema kontrak kerja individu dan tidak berstatus aparatur sipil negara (ASN).

“Guru yang dikontrak tidak terikat ASN, dan memang dikontrak untuk mengajar di situ (Sekolah Rakyat),” ujar Mu’ti dalam konferensi pers bersama Mensos di kantor Kemendikdasmen dikutip dari keterangan resmi Kemensos pada Rabu, 9 April 2025.

Mu’ti mengatakan, meski tak terikat ASN, syarat bagi guru yang akan direkrut harus telah lulus Pendidikan Profesi Guru (PPG), bersedia mengajar penuh waktu, serta mampu mengampu lebih dari satu mata pelajaran. “Yang pertama ia harusfull-time, harus di situ, dan harus disampaikan di awal,” katanya.

Menurut dia, penugasan kepala sekolah juga akan disesuaikan dengan jumlah murid di setiap lokasi. Dalam satu Sekolah Rakyat, bisa saja hanya memiliki satu kepala sekolah untuk tiga jenjang sekaligus: SD, SMP, dan SMA. “Untuk BNBA (data nama berdasarkan alamat) dari guru yang akan menjadi tenaga pendidik akan diserahkan pada 24 April,” ujarnya.

Sekolah Rakyat, kata dia, akan menggunakan kurikulum dengan pendekatan individual, di mana pemetaan capaian belajar peserta didik dilakukan sejak awal. Model pendidikan ini memungkinkan siswa masuk kapan saja dan menyelesaikan pembelajaran sesuai ritme masing-masing.

“Multi-entry multi-exitjangan dimaknai bisa keluar kapan saja. Namun bisa masuk kapan saja dan mencapai capaian pembelajaran kapan saja. Tidak harus semua siswa disamakan,” ujar Mu’ti. Dia menekankan pentingnya pembentukan karakter melalui sistem asrama.

Proses rekrutmen siswa akan memanfaatkan integrasi antara data pokok pendidikan (Dapodik) dan Data Terpadu Kesejahteraan Sosial (DTSEN). Mensos menyebutkan siswa yang berhak masuk Sekolah Rakyat adalah anak-anak dari keluarga dalam desil 1 dan 2 (kategori paling miskin), yang tidak terdata di Data Pokok Pendidikan (Dapodik).

“Kalau mereka tidak terdata dalam Dapodik, berarti mereka adalah anak yang putus sekolah. Sehingga tidak akan mengambil peserta didik dari mereka yang sudah bersekolah,” ujar Gus Ipul.

Mensos menuturkan Instruksi Presiden Nomor 8 Tahun 2025 perihal optimalisasi pengentasan kemiskinan ekstrem yang baru saja diterbitkan menjadi dasar pelaksanaan program Sekolah Rakyat ini.

M. Rizki Yusrial,Nabiila Azzahra,Dinda Shabrina, danHendrik Yaputraberkontribusi dalam penulisan artikel ini.

Pilihan editor:Ragam Reaksi atas Pertemuan Prabowo dan Megawati",9 April 2025,21.08 WIB,Pendidikan
Kepala BGN: Makan Bergizi Gratis Bakal Gunakan Anggaran Rp 1 Triliun per Hari pada November 2025,Tidak ditemukan,Tidak ditemukan,9 April 2025,15.00 WIB,Video
Dadan Hindayana Sebut Makan Bergizi Gratis Bakal Gunakan Anggaran Rp 1 Triliun per Hari pada November 2025,Badan Gizi Nasional merekrut sejumlah sarjana dari seluruh wilayah di Indonesia untuk membantu operasional program makan bergizi gratis.,"TEMPO.CO,Jakarta- KepalaBadan Gizi Nasional(BGN) Dadan Hindayana mengatakan pada akhir 2025 programMakan Bergizi Gratisditargetkan sudah tersalurkan bagi 82,9 juta penerima manfaat. BGN bakal menyerap anggaran Rp 1 triliun per hari pada November untuk memenuhi target tersebut.

Dadan menyampaikan bahwa pada akhir November 2025 PresidenPrabowo Subiantomenargetkan sudah ada 32 ribu satuan pelayanan pemenuhan gizi. “Melayani 82,9 juta itu di bulan November akhir dan itu sudah akan menyerap anggaran Rp 25 triliun per bulan, atau Rp 1 triliun per hari,” ucapnya di tengah Silaturahmi Ekonomi di Menara Mandiri, Sudirman, Jakarta, Selasa 8 April 2025.

Seperti diketahui, tahun ini BGN menerima anggaran dari APBN sebesar Rp 71 triliun. Dadan yakin anggaran bukanlah masalah yang jadi kendala program makan bergizi. Musababnya kepala negara sudah berkomitmen menambah dana. “Anggaran ini kelihatannya sudah dijamin oleh Pak Presiden. Berapa pun yang badan gizi butuhkan akan disiapkan,” ujarnya.

Menurut dia, Prabowo sudah melakukan ancang-ancang menyiapkan tambahan anggaran Rp 100 triliun. Namun dia tidak merinci kapan dana tersebut mulai bisa dicairkan.

Dalam paparan, Dadan menyampaikan realisasi penyaluran MBG. Pada Januari 2025 Badan Gizi sudah melayani 570 ribu penerima manfaat di 26 provinsi.  Pada Februari, pemenuhan gizi tambahan tersebut sudah disalurkan ke 2,2 juta penerima manfaat. Hingga menjelang Lebaran kemarin, sudah ada 1.009 satuan pelayanan pemenuhan gizi dengan 3 juta penerima.",8 April 2025,21.55 WIB,Bisnis
Jalan Terjal Membangun Kepercayaan Publik,"Melalui berbagai kebijakan dan pernyataan kontroversial, pemerintah seolah tak membutuhkan kepercayaan publik. Apa bahayanya?","PERNYATAAN Kepala Biro Sekretariat Jenderal Kementerian Pertahanan Brigadir Jenderal Frega Ferdinand Wenas Inkiriwang ihwal rencana Tentara Nasional Indonesia yang akan melakukan operasi informasi dan disinformasi untuk menanggulangi ancaman kedaulatan negara di ruang siber menuai kontroversi. Operasi itu menargetkan pihak-pihak yang dianggap memiliki motif melemahkankepercayaan publikterhadap institusi pertahanan dan pemerintah.Operasi ini menjadi ""kado"" kebijakan mengejutkan lain bagi masyarakat setelah sederet program dan kebijakan yang menuai kontroversi. Dari pemangkasan anggaran, pelaksanaan programmakan bergizi gratisyang masih amburadul, penundaan pengangkatan calon aparatur sipil negara, pembentukan Danantara, hingga pengesahan revisi Undang-Undang TNI.",7 April 2025,06.00 WIB,Pendapat
Ferry Latuhihin: Kebijakan Ekonomi Indonesia Koplaknomics,Mantan tim kampanye Prabowo Subianto ini mengkritik kebijakan pemerintah. Apa kata Ferry Latuhihin tentang Danantara?,"DARI anggota Dewan Pakar Tim Kampanye Nasional Prabowo Subianto dalam pemilihan presiden 2024,Ferry Latuhihinkini menjadi salah satu ekonom yang paling lantang mengkritik kebijakan mantan Komandan Jenderal Komando Pasukan Khusus tersebut.",30 Maret 2025,09.00 WIB,Wawancara
Siswa Sekolah Rakyat Akan Mendapat Makan Bergizi Gratis Satu Kali,"Sekolah Rakyat akan dibuka untuk jenjang SD, SMP, dan SMA dalam bentuk asrama.","TEMPO.CO,Jakarta- SiswaSekolah Rakyatakan mendapatkan makan siang dari programMakan Bergizi Gratis, sama seperti di sekolah-sekolah lainnya. Hal ini dikonfirmasi oleh Menteri SosialSaifullah Yusufdan Kepala Badan Gizi Nasional (BGN) Dadan Hindayana.

Gus Ipul, sapaan akrab Saifullah, mengatakan MBG akan disalurkan satu kali pada waktu makan siang saja. “Ya, dapat (MBG) dong. Sekali saja, kan yang pagi sama sore disediakan oleh kami,” kata Gus Ipul ketika dihubungiTempo lewat telepon pada Kamis, 27 Maret 2025.Penyaluran MBG ke Sekolah Rakyat saat ini masih berupa rencana, mengingat proses pembangunan sekolah tersebut juga masih berjalan. Saat ini 53 lokasi di berbagai daerah Indonesia siap untuk dijadikan Sekolah Rakyat.Dadan Hindayana membenarkan MBG akan diberikan kepada siswa Sekolah Rakyat. Ia berkata prosesnya akan sejalan dengan perkembangan program Kementerian Sosial itu. “Iya, betul. Persiapan akan sejalan dengan kegiatan Sekolah Rakyat,” ujar Dadan lewat pesan singkat, Kamis.Adapun Sekolah Rakyat merupakan program yang dicanangkan Presiden Prabowo Subianto untuk anak-anak dari kelompok keluarga tidak mampu. Janji pemerintah dengan membangun Sekolah Rakyat adalah menyediakan pendidikan berkualitas secara gratis bagi anak-anak dari keluarga miskin dan miskin ekstrem.Sekolah Rakyat akan dibuka untuk jenjang SD, SMP, dan SMA dalam bentuk asrama atauboarding school. Kementerian Sosial merencanakan kurikulum Sekolah Rakyat akan mencakup penguatan karakter, kepemimpinan, nasionalisme, dan keterampilan.Kementerian tersebut mengeklaim keberadaan Sekolah Rakyat nantinya tidak akan menggantikan sekolah-sekolah yang sudah ada. Ketua Tim Formatur Sekolah Rakyat Mohammad Nuh menjelaskan program ini justru akan memperluas akses pendidikan bagi anak-anak yang belum bersekolah.“Sekolah Rakyat hadir untuk melengkapi, bukan meniadakan sekolah yang sudah ada. Fokus kami adalah memastikan bahwa setiap anak mendapatkan haknya untuk belajar,” kata M. Nuh, seperti dikutip dari keterangan tertulis Kemensos pada Selasa, 25 Maret 2025.Sekretaris Jenderal Kemensos Robben Rico menjelaskan, guru dan tenaga pendidik Sekolah Rakyat akan direkrut dari daerah sekitar sekolah. Menurutnya, hal tersebut dilakukan guna menjaga kesinambungan dan keberlanjutan program.“Hal ini bertujuan untuk memastikan adaptasi sosial yang lebih baik, sekaligus memperlancar distribusi tenaga pendidik di wilayah-wilayah yang membutuhkan,” ujar Robben.Sekolah Rakyat akan memulai proses penerimaan murid dan rekrutmen tenaga pendidik pada April 2025, sebelum beroperasi pada Juli mendatang untuk tahun ajaran 2025/2026. Tenaga pendidik akan diseleksi lewat Pendidikan Profesi Guru (PPG), sementara murid akan melewati beberapa tahapan dari administratif hingga wawancara.KepadaTempo, Gus Ipul membeberkan seluruh proses Sekolah Rakyat diharapkan bisa dimulai pada pertengahan atau akhir April 2025. “Saya masih belum mendapat laporan akhir, tapi diharapkan akhir April semua sudah dimulai proses rekrutmen guru dan murid. Paling tidak pertengahan lah,” katanya ketika dihubungi pada Sabtu, 22 Maret 2025.Hendrik Yaputraberkontribusi dalam penulisan artikel ini.

Pilihan Editor:Anak dengan Autisme di Sekitar Kita",28 Maret 2025,00.14 WIB,Pendidikan
Cerita Staf SPPG Makan Bergizi Gratis Jual Motor karena Gaji Belum Dibayar,Kisah staf SPPG jual motor hingga HP demi bertahan hidup karena gaji dari mengurus Makan Bergizi Gratis belum dibayar.,"TEMPO.CO,Jakarta-Tata, bukan nama sebenarnya, terpaksa menjual motornya untuk memenuhi kebutuhan sehari-hari. Ia merupakan staf di Satuan Pelayanan Pemenuhan Gizi (SPPG), dapur tempat produksiMakan Bergizi Gratis. Semenjak program tersebut dimulai, Tata belum pernah mendapatkan gajinya sama sekali. ""Jual HP juga aku,"" kata singkat saat diwawancarai pada Senin, 24 Maret 2025.

Tata bekerja di salah satu SPPG yang ada di Jawa Tengah. Kerjanya tak pernah tentu waktu. Kadang mengurusi dapur hingga larut malam. Sejak awal, kata Tata, pembicaraan terkait gaji ini memang tidak pernah jelas. Ia berulang kali mempertanyakan kepada pihakBGN, tapi yang didapat hanya ketidakpastian ""Sabar. Masih proses,"" kata Tata menirukan jawaban BGN.

Pilihan Editor:Pramono Anung akan Gelar Open House Jika Prabowo Juga Melaksanakan

Tata juga mengatakan telah menandatangani surat perjanjian kerja atau SPK sebanyak dua kali sebagai bentuk hitam di atas putih. Namun, surat tersebut justru menghadirkan kebingungan. Tata mengatakan pada SPK pertama yang diberikan di awal Februari memuat ketentuan bahwa staf SPPG akan menerima gaji setara dengan upah minimum provinsi dan tunjangan hari raya. Masa kontraknya tercatat selama tujuh bulan.

Akhir Februari ia kembali diminta menandatangani SPK. Kali ini, kata Tata, perubahannya sangat signifikan. Ketentuan menerima THR dihapus dan kontraknya hanya tertulis selama 1 bulan.",26 Maret 2025,09.42 WIB,Politik
"Bertemu Presiden New Development Bank, Airlangga Pamerkan Program Makan Bergizi Gratis",Prabowo mengumumkan Indonesia resmi bergabung dengan New Development Bank.,"TEMPO.CO,Jakarta- Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menemui PresidenNew Development BankDilma Vana Rousseff pada Selasa, 25 Maret 2025. Pada persamuhan itu, Airlangga menyampaikan program prioritas Indonesia di bawah kepemimpinan Presiden Prabowo Subianto.

“Saat ini Indonesia tengah menjalankan programmakan bergizi gratisdi berbagai jenjang pendidikan lingkup nasional dengan harapan dapat menggerakkan ekonomi pedesaan dan menciptakanmultiplier effect,” kataAirlanggadi Kantor Kementerian Koordinator Bidang Perekonomian, Jakarta Pusat, dikutip dari keterangan resmi, Selasa, 25 Maret 2025.

Mantan Ketua Umum Partai Golkar ini mengapresiasi undangan Presiden NDB agar Indonesia dapat bergabung dalam keanggotaan bank bersama dengan negara anggota BRICS lainnya. Diketahui, NDB merupakan bank yang didirikan oleh negara blok ekonomi BRICS untuk memobilisasi sumber daya alam dalam pengembangan infrastruktur dan proyek pengembangan berkelanjutan.

Presiden NDB Dilma Vana Rousseff, yang juga merupakan mantan Presiden ke-36 Brasil, mengatakan bank ini tidak seperti bank multilateral lainnya. “Kami menghormati kedaulatan masing-masing negara sehingga tidak adaveto power,” ujar dia.

Sebelumnya, Prabowo mengumumkan Indonesia resmi bergabung dengan New Development Bank. Keputusan ini disampaikan Prabowo saat menerima kunjungan Dilma Vana Rousseff di Istana Merdeka, Jakarta Pusat. “Pemerintah Indonesia telah memutuskan untuk bergabung dengan New Development Bank,” kata Prabowo.",25 Maret 2025,23.19 WIB,Bisnis
"Memahami Perbedaan Antara Zakat, Infak, dan Sedekah dalam Islam","Zakat, infak, dan sedekah merupakan bentuk amal dalam Islam yang memiliki perbedaan mendasar.","TEMPO.CO,Jakarta- Usulan pemanfaatanzakat, infak dan sedekah (ZIS) sebagai alternatif pembiayaan program Makanan Bergizi Gratis (MBG) menuai perbedatan di masyarakat. Ide ini dikemukakan oleh Ketua DPD RI Sultan Bachtiar Najamuddin, yang menilai bahwa anggaran negara masih belum cukup dalam mendanai program MBG secara keseluruhan.

""Pemerintah perlu menyusun skema pembiayaan yang partisipatif agar program ini dapat berjalan optimal dengan semangat gotong royong,"" ungkap Sultan Bachtiar dalam pernyataan tertulis pada Sabtu, 11 Januari 2025.

Namun, Kepala Kantor Staf Presiden Anto Mukti Putranto menegaskan bahwa dana MBG telah dianggarkan melalui APBN sebesar Rp71 triliun. Presiden Prabowo Subianto juga memastikan bahwa zakat tidak akan digunakan dalam program tersebut. Menurut Anto, penggunaan dana zakat untuk MBG akan sangat memalukan.

Menanggapi ide tersebut, Badan Amil Zakat Nasional atau BAZNAS mengungkapkan tidak keberatakn jika zakat, infak, dan sedekah digunakan untuk mendukung program MBG, selama dana tersebut diberikan kepada kelompok fakir miskin. Ketua BAZNAS Noor Achmad menekankan bahwa sesuai syariat islam, zakat hanya dapat disalurkan kepada golongan yang termasuk penerima zakat.

Zakat, infak, dan sedekah merupakan bentuk amal dalam islam yang memiliki perbedaan mendasar. Berikut adalah penjelasan mengenai masing-masing istilah tersebut.

1. Zakat",25 Maret 2025,14.04 WIB,Ragam
