judul,isi,hari,tanggal,jam,kategori,link
"Migrasi Paket IndiHome Tak Kunjung Selesai, Kecepatan Malah Turun","(SOLVED)



Saya telah menjadi pelanggan IndiHome selama 7 tahun. Tanggal 23 Maret 2025, saya berencana melakukan upgrade kecepatan dari 20 Mbps menjadi 50 Mbps, namun selama proses upgrade diajukan, kecepatan internet justru turun menjadi hanya 10 Mbps.

SCROLL TO CONTINUE WITH CONTENT

Tanggal 29 Maret 2025, teknisi IndiHome datang ke rumah untuk mengganti modem lama yang saya pikir proses ini akan menyelesaikan upgrade paket. Namun, setelah modem diganti, kecepatan internet justru turun menjadi 10 Mbps, padahal saya masih dalam paket 20 Mbps. Teknisi juga menyampaikan bahwa proses upgrade akan selesai dalam 3x24 jam.

Pada 01 April 2025 saya kembali cek kecepatan internet, hasilnya tetap 10 Mbps. Saya menghubungi IndiHome melalui Instagram dan X.com, namun jawabannya selalu sama: ""silakan restart modem"" yang sudah saya lakukan berulang kali, tapi tidak ada perubahan.

Dua hari kemudian saya menghubungi customer service kembali dan akhirnya dibuatkan tiket baru (#1-MHQAB3X). Sore harinya saya dihubungi IndiHome (024 8600 1100) yang menginformasikan bahwa paket internet saya adalah 10 Mbps, padahal di aplikasi MyTelkomsel tertulis 2P 20 Mbps. Sekitar pukul 14.00, internet saya mati total dengan alasan ada perbaikan dari sisi sentral.

Tanggal 4 April 2025, internet masih belum menyala, saya kembali menghubungi IndiHome melalui Instagram dan dibuatkan tiket baru (#1-MI0QGUP). Sekitar pukul 10 pagi, teknisi datang dan memperbaiki koneksi. Saya tanyakan kembali soal penurunan kecepatan yang menurut teknisi, di sistem memang tercatat paket saya hanya 10 Mbps. Saya diarahkan untuk datang langsung ke GraPARI karena diduga ada kesalahan sistem.

Tanggal 07 April 2025, saya datang ke GraPARI Telkomsel Solo untuk menanyakan percepatan proses migrasi. Namun jawaban yang saya terima sama seperti sebelumnya, hanya janji follow-up dalam 3x24 jam. Ketika saya menanyakan alasan penurunan kecepatan ke 10 Mbps, jawabannya pun sama: ""masih dalam proses, harap menunggu"".

Hingga surat ini saya kirimkan, belum ada perkembangan apapun terkait migrasi paket. Yang paling mengecewakan, kecepatan internet saya justru turun menjadi 10 Mbps dari sebelumnya 20 Mbps.

Arifsetiawan00@gmail.comJawaban

Tanggapan Telkomsel

Merujuk pada surat pembaca di Detik.com pada tanggal 9 April 2025 oleh Bapak Muhamad Arif perihal produk dan layanan IndiHome. Dapat kami sampaikan bahwa Telkomsel telah menghubungi pelanggan secara langsung dan melakukan pemeriksaan terhadap kendala yang dialami oleh pelanggan.

SCROLL TO CONTINUE WITH CONTENT

Telkomsel juga telah mengupayakan solusi terbaik atas kendala yang dihadapi. Mohon maaf atas ketidaknyamanan yang dialami dan terima kasih atas kritik serta saran yang disampaikan kepada Telkomsel.

Beragam informasi produk, fitur, serta layanan self-care Telkomsel dapat dinikmati pelanggan dengan kemudahan menggunakan layanan GraPARI Online untuk melakukan proses layanan seperti ganti/ upgrade kartu SIM 4G, pembelian SIM card Telkomsel Prabayar, serta pendaftaran Telkomsel Halo (pascabayar) secara online dengan mengakses tsel.me/graparionline sedangkan untuk melihat produk Indihome dapat diakses pada indihome.co.id/about-indihome.

Pelanggan Telkomsel Prabayar, Telkomsel Halo, dan IndiHome dapat menghubungi Call Center 188. Berbagai channel digital Telkomsel dapat pula diakses oleh pelanggan melalui e-mail ke cs@telkomsel.com, facebook.com/telkomsel, Instagram @telkomsel, Twitter @telkomsel, dan Twitter @indihome. Dapatkan juga kemudahan dalam mengakses informasi tentang produk dan layanan Telkomsel melalui Asisten Virtual TelkomselVeronika:Chat veronika: tsel.me/chatvaAplikasi MyTelkomsel: my.telkomsel.com/app/chatbotWebsite: www.telkomsel.comFacebook Messenger: tsel.me/facebookVA

Demikian disampaikan, terima kasih atas perhatian dan kepercayaan Bapak Muhamad Arif dalam menggunakan beragam produk dan layanan Telkomsel. Kepuasan ataupun masukan pelanggan adalah inspirasi bagi kami untuk selalu melakukan inovasi baru dan secara konsisten memberikan layanan yang terbaik.

Kurnia PurwantoManager External CommunicationsPT Telekomunikasi Selular",Kamis,17 Apr 2025,11:22 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7872963/migrasi-paket-indihome-tak-kunjung-selesai-kecepatan-malah-turun
"Apliksi Flip Salah Input Akun e-Wallet, Belum Ada Solusi","Tanggal 19 Maret 2025 saya melakukan top up Gopay melalui aplikasi Flip dan transaksi dinyatakan berhasil. Namun dana tersebut tidak masuk ke akun Gopay.

Saya langsung mengajukan laporan dan ternyata pihak Flip salah memasukkan nomor tujuan akun Gopay tersebut. Pihak Flip menyarankan untuk meghubungi pihak Gojek yang meminta bukti-bukti yang ada dan sudah saya kirimkan melalui email.

Setelah menunggu tiga hari kerja, saya Kembali menghubungi Gopay yang mengatakan bahwa dana tidak bisa dikembalikan karena dana sudah masuk ke kun yang nomornya salah tersebut dan bukan merupakan kesalahan Gojek.

SCROLL TO CONTINUE WITH CONTENT

Saya meminta kepada Gojek untuk memberikan nomor akun penerima dana agar dapat langsung menghubungi, tetapi pihak Gojek menolak untuk memberikannya. Saya merasa kecewa dengan aplikasi Flip yang salah input nomor akun Gojek sehingga terjadi kesalahan tersebut.

Untuk itu saya memohon agar dana saya dapat segera dikembalikan dan Gojek dapat pula membantu menjembatani saya dengan pemilik akun salah topup sehingga uang saya bisa Kembali. Terima kasih.

Linnalinnalukmantoro@gmail.com



Lihat juga video: Desain HP Lipat Pertama Infinix Zero Flip

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,04 Apr 2025,11:24 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7854174/apliksi-flip-salah-input-akun-e-wallet-belum-ada-solusi
Komplain Tokopedia Belum Ada Penyelesaian,"Saya melakukan transaksi melalui tokopedia dengan invoice INV/20250311/MPL/4484585463. Setelah barang datang ternyata bermasalah dan saya langsung melakukan komplain.

Diinformasikan dalam tenggat waktu paling lambat tanggal 25 Maret 2025 apabila tidak ada respons dari penjual, maka secara otomatis akan terjadi refund.

Tetapi hingga saya menulis surat keluhan ini, refund belum diberikn. Apakah ini solusi yang diberikan oleh Tokopedia? Mohon kepada Tokopedia untuk dapat memberikan solusi.

SCROLL TO CONTINUE WITH CONTENT

Arikaneshirohendra@gmail.com



Lihat juga Video: CakIminTunjuk PendiriTokopediaJadi Deputi diKemenkoPM

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,04 Apr 2025,11:12 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7854142/komplain-tokopedia-belum-ada-penyelesaian
Indosat HIFI Menutup Layanan Di Luar Kesepakatan,"Saya adalah mantan pelanggan Indosat Hifi yang mengajukan berhenti berlangganan tanggal 21 Maret 202 karena dua alasan. Saya pernah mengajukan komplain di bulan Januari terkait pemotongan sepihak atas periode langganan saya, dari 12 bulan menjadi hanya 10 bulan.

Padahal ini sudah saya bayarkan di awal untuk perioder 12 bulan di 0 tanggal 1 April 2024. Tapi pada bulan Januari 2025 muncul tagihan dan saya harus bayar untuk periode seterusnya. Laporan ini tidak ada lanjutannya.

Juga pada tanggal 14 sampai 21 Mret 2025, jaringan internet saya putus tiga kali. Dan setiap kali putus bisa butuh dua hari untuk perbaikan. Oleh karena itu saya memustuskan untuk menutup layanan Indosat. Namun pada saat proses penutupan, call center meminta saya bayar tagihan terakhir yang jatuh tempo tanggal 22 Maret dan akan ditutup di tanggal 8 April sesuai periode tagihan saya.

SCROLL TO CONTINUE WITH CONTENT

Tapi yang terjadi adalah tanggal 24 maret 2024 layanan indosat saya mati total dan setelah dikonfirmasi ke call center penyebabnya adalah nomor pelanggan saya sudah ditutup dan tidak ada opsi pembukaan lagi selain dengan melakukan pembuatan akun baru dengan minimal langganan 1 tahun.

Dari call center tidak ada solusi apa-apa terkait ini. Mohon tanggapan dan solusinya. Terima kasih

Achmadahm_baz@yahoo.com.sg



Lihat juga Video: Kolaborasi Indosat-NVIDIA Bangun Pusat AI di Solo Tahun Depan

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,04 Apr 2025,11:07 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7854131/indosat-hifi-menutup-layanan-di-luar-kesepakatan
"Transaksi di Bukalapak, Pembayaran Berhasil Tetapi Transaksi Gagal","Pada hari jumat tanggal 14 Maret 2024 pukul 13.42 WIB, saya melakukan pembelian token Rp 500.000 sebanyak empat kali di Bukalapak. Dua transaksi berhasil, namun dua transaksi lagi tidak berhasil.

Saya sudah menghubungi customer service untuk bantuan atau pengajuan refund karena dana sudah terpotong. Pada hari dan tanggal yang sama saya sudah melaporkan ke BukaBantuan Bukalapak dan disampaikan untuk menunggu tanpa ada kepastian kapan uang saya dikembalikan.

Saya juga sudah coba mengirimkan chat melalui Instagram, Whatsapp namun tidak ada respons. Sampai saat saya mengirimkan keluhan ini belum ada solusi dari Bukalapak. Mohon Bukalapak segera mengembalikan uang saya, terima kasih.

SCROLL TO CONTINUE WITH CONTENT

Donidonialfianaf@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Senin,24 Mar 2025,11:25 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7838574/transaksi-di-bukalapak-pembayaran-berhasil-tetapi-transaksi-gagal
Transfer BCA Mobile Didebet Dua Kali dengan Satu Bukti Transaksi,"Tanggal 11 Maret 2025 sekitar jam 08:28 Wib saya melakukan pembayaran melalui BCA Mobile ke nomor Virtual Account Bank BRI 12733000000821681 sebesar Rp 1.800.000. Kemudian saya cek mutasi Debet terlihat ada dua kali pendebetan oleh BCA dengan nominal yang sama ditambah admin Rp 6.500 tanpa ada bukti di inbox BCA Mobile.

Jadi ini betul murni kesalahan sistem BCA Mobile karena Virtual Account BRI tersebut hanya berlaku satu kali pembayaran dan tidak aktif setelahnya. Kemudian saya melakukan pengaduan ke Halo BCA terkait hal ini hanya Customer Service melalui telepon yang menyarankan saya untuk menghubungi pemilik nomor Virtual Account tersebut.

Saya sudah jelaskan bahwa pemilik nomor Virtual Account tersebut tidak bisa dihubungi karena itu pinjaman online dan saya tidak pernah dan merasa melakukan pembayaran dua kali karena terbukti dari bukti transfer di inbox BCA mobile hanya ada satu bukti transfer yang saya lakukan.

SCROLL TO CONTINUE WITH CONTENT

Akhirnya dibuatkan pelaporan dengan nomor 2003102758. Satu haru kemudian ada tim Analis Halo BCA menghubungi saya dan menanyakan kronologi, tetapi beliau menjelaskan bahwa ini bukan kesalahan BCA dan BCA hanya akan follow up saja ke bank penerima Virtual Account tersebut.

Padahal sudah sangat jelas itu kesalahan sistem BCA yang melakukan pendebetan dua kali. Setelah adanya perdebatan, akhirnya tim Analis BCA hanya meminta saya untuk menunggu progress pelaporan tersebut dan sampai dengan saat ini belum ada update terkait uang saya. Terima kasih.

Gilangramagil25@yahoo.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Rabu,19 Mar 2025,20:12 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7831786/transfer-bca-mobile-didebet-dua-kali-dengan-satu-bukti-transaksi
"Barang Tak Sampai, Kecewa Penanganan Komplain Admin Tokopedia","(SOLVED)



Pada Tanggal 26 Februari 2025, saya membeli barang di Tokopedia dengan nomor invoice INV/20250226/MPL/4464125335. Kemudian di status pengiriman tertulis bahwa Minggu, 2 Maret 2025 barang diproses retur dan paket akan dikirim kembali ke penjual. Dan hari itu juga tertulis retur berhasil.

SCROLL TO CONTINUE WITH CONTENT

Esok harinya saya komplain ke Tokopedia karena barang belum saya terima, dan tanggal 4 Maret2025 penjual juga menginformasikan bahwa tidak ada barang kembali ke penjual. Kemudian Tokopedia melakukan investigasi ke pihak kurir.

Tetapi setelah dua minggu proses investigasi belum juga selesai, kami hanya diminta menunggu tidak ada kepastian sampai kapan. Padahal saldo Gopay saya juga sudah terpotong.Mohon bantuan pihak admin Tokopedia untuk masalah ini. Terima kasih.

Budybudyk1996@yahoo.comJawaban

Bapak Budy menyampaikan bahwa permasalahan sudah selesai.",Rabu,19 Mar 2025,16:31 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7831396/barang-tak-sampai-kecewa-penanganan-komplain-admin-tokopedia
"MNC Play Menjadi Indosat Hifi, Tagihan Lebih Mahal","Saya sebagai pelanggan lama MNC Play merasa kecewa karena ketika MNC Play berubah menjadi Indosat Hifi, tidak ada informasi ke pelanggan. Perubahan nominal berlangganan saya dari MNC Play ke Indosat Hifi pun tidak ada konfirmasi, tiba -tiba ada tagihan yang jatuh tempo beberapa hari lagi dengan nominal yang lebih mahal dari biasanya.

Diinformasikan bahwa saya harus bayar dulu nominal yang sudah tercetak di tagihan dan di bulan berikutnya baru sesuai dengan nominal tagihan paket internet yang saya inginkan.

Tetapi di tagian bulan Februari 2025, tidak ada perubahan. Call centre yang saya hubungi hanya mengatakan untuk menunggu konfirmasi. Oleh karena itu, saya meminta agar Indosat Hifi dapat segera memberikan jawaban dan solusi. Terima kasih.

SCROLL TO CONTINUE WITH CONTENT

Rohmaommarmalade@gmail.com



Lihat juga video: MNC Group Tetap Jadi TV Penyelenggara Debat Ketiga Pilpres

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,27 Feb 2025,08:11 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7797630/mnc-play-menjadi-indosat-hifi-tagihan-lebih-mahal
Laporan ke Optik Melawai Mall Ciputra Belum Ada Solusi,"(SOLVED)



Saya sebagai member Optik Melawa yang melakukan pembelian sejak tahun 2013 dan selama ini meraa puas. Tetapi pembelian kacamata untuk penggantian di Optik Melawai Mall Ciputra, saya merasa dirugikan karena spesifikasi lensa tidak sesuai dengan spesifikasi saat Pengukuran Lensa. Saya meminta lensa progressif dan disampaikan butuh waktu produksi hingga beberapa hari kedepan dan akan dihubungi melalui whatsapp.

SCROLL TO CONTINUE WITH CONTENT

Tanggal 20 Februari 2025, saya telah mendapatkan informasi bahwa kacamata telah selesai. Namun saat saya coba, saya kesulitan membaca jarak dekat dan saya langsung melaporkan melalui WhatsApp ke Optik Melawai Mall Ciputra. Diinformasikan bahwa sales sedang libur, lalu disampaikan akan dihubungi saat sales sudah dating lagi.

Namun sampai dengan saat ini, belum ada solusi dari Optik Melawai perihal laporan yang saya sampaikan tersebut.

Alimuhlis.ali04@gmail.comJawaban

Tanggapan Optik Melawai

Melalui surat ini kami bermaksud menanggapi sekaligus memberikan klarifikasi atas keluhan Sdr Ali yang dipublikasikan di website news.detik.com dengan judul ""Laporan ke Optik Melawai Mall Ciputra Belum Ada Solusi"" pada 24 Februari 2025.

SCROLL TO CONTINUE WITH CONTENT

Pertama-tama kami mengucapkan permohonan maaf atas keluhan dan ketidaknyamanan yang telah dialami oleh Sdr. Ali. Tim Cabang Optik Melawai Mall Ciputra telah menghubungi Sdr. Ali pada tanggal 25 Februari 2025 dan memberikan solusi berupa layanan penggantian lensa. Sdr Ali juga telah menyetujui atas solusi yang diberikan oleh Optik Melawai.

Sebelum mengakhiri surat ini, kami juga ingin mengucapkan terima kasih atas kesetiaan Sdr Ali terhadap Optik Melawai. Semoga kami dapat selalu memberikan pelayanan yang terbaik kepada Sdr. Ali dan seluruh pelanggan.

Demikian tanggapan dan klartifikasi yang dapat kami sampaikan. Atas perhatian dan kerja sama rekan media, kami mengucapkan terima kasih.

Gesi RisSupervisor Customer Service",Senin,24 Feb 2025,16:18 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7793297/laporan-ke-optik-melawai-mall-ciputra-belum-ada-solusi
Upah Belum Dibayarkan Oleh PT Satyamitra Surya Perkasa,"Yang terhormat Pimpinan Perusahaan PT Satyamitra Surya Perkasa yang telah berganti nama menjadi PT Satra Energia Internasional, saya ingi menyampaikan perihal upah atau gaji suami saya yang belum dibayarkan sejak 4-5 tahun ini.

Kami sudah berulangkali mengirimkan surat menggunakan bahasa yang teratur dan sopan, tetapi tidak ada satupun tanggapan dari bapak pimpinan. Dalam surat tersebut kami menyampaikan bahwa kami tidak meminta pembayaran secara penuh. Hanya sesuai dengan nilai yang dibutuhkan untuk kebutuhan memenuhi sandang, pangan, papan serta kewajiban suami saya sebagai orang tua dari anak-anak kami agar dapat menyelesaikan pendidikan mereka.

Bapak pimpinan mungkin tidak punya perasaan terhadap apa yang kami rasakan dan juga tidak peduli dengan kondisi yang kami sampaikan, yang mungkin bukan merupakan tanggung jawab bapak untuk bisa memenuhinya.

SCROLL TO CONTINUE WITH CONTENT

Kami mohon agar bapak berani untuk mempertanggungjawabkan sesuai dengan posisi bapak sebagai seorang Direktur Utama dalam perusahaan, berikanlah pernyataan, tanggapan dan berikanlah hak gaji tersebut agar suami dan saya juga anak-anak dapat meneruskan kehidupan kami.

Bapak bisa meluangkan waktu bertemu dengan para penagih, memberikan makan kepada mereka, memberikan bayaran kepada mereka tetapi kenapa tidak terpikir dan peduli kepada kehidupan karyawan dan keluarganya? Pesan saya pak, jangan berlindung mengatasnamakan kesehatan bapak. Terima kasih.

Diahhamurwokodiahayu@gmail.com



Simak juga video: Menanti Solusi PHK dan Tuntutan Upah Buruh

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,04 Feb 2025,11:21 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7762303/upah-belum-dibayarkan-oleh-pt-satyamitra-surya-perkasa
"Dibatalkan Karena Serah Terima Telat, Mahata Serpong Belum Refund Dana","Serah terima unit Apartemen di Mahata Serpong Rawa Buntu (Perumnas) belum dilakukan yang seharusnya pada tanggal 31 Desember 2021. Padahal saya sudah melakukan pembayaran penuh untuk unit saya.

Sesuai dengan aturan di Pasal 5 ayat 5(b) dan ayat 6 yang tertera pada perjanjian pengikat jual dan beli unit apartemen Mahata Serpong bahwa apabila belum dilakukan serah terima unit, maka konsumen berhak mengajukan pembatalan.

Setelah saya ennggu hingga bulan November 2022, serah terima juga belum kunjung dilakukan, maka saya meminta untuk dilakukan pembatalan. Melalui diskusi dengan pihak Mahata Serpong, saya disuruh untuk mengirimkan email untuk permintaan pembatalan dan sudah saya kirimkan tanggal 9 Januari 2023.

SCROLL TO CONTINUE WITH CONTENT

Namun hingga surat pembaca ini saya kirimkan, belum ada solusi perihaldana yang belum dikembalikan. Saya memohon pihak Mahata Serpong (Perumnas) untuk segera mengembalikan uang tersebut.

Suryasurya.deking@gmail.com



Simak juga video: Sewa Lebih Diminati Dibanding Beli Apartemen, Kenapa?

[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,04 Feb 2025,11:10 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7762285/dibatalkan-karena-serah-terima-telat-mahata-serpong-belum-refund-dana
"Data Bank Sudah Benar, Airbnb Belum Cairkan Dana","Saya adalah salah satu pemilik properti yang saya daftarkan di platform Airbnb. Bulan Desember 2024 saya dapat tamu yang memesan di Airbnb untuk ceck in 23 - 27 Desember 2024. Sebagai catatan, saat mendaftarkan properti saya di Airbnb, semua data termasuk data bank sudah dilenkapi.

Namun kaena kembali diminta data untuk keperluan tari dana, 24 Desember 2024 saya daftarkan kembali dan disuruh menunggu sampai 31 Desember 2024 dana akan masuk ke rekening. Tetapi sampai dengan surat ini saya kirimkan, dana belum masuk e rekening.

Selama ini saya juga sudah mencoba live chat dengan Airbnb, tapi tidak pernah diberitahukan letak kesalahan sehingga dana masih tertahan di Airbnb.

SCROLL TO CONTINUE WITH CONTENT

Effendieffendi.sl@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Senin,03 Feb 2025,12:47 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7760714/data-bank-sudah-benar-airbnb-belum-cairkan-dana
"Paket Data Indosat Tidak Diterima, Saldo Dana Sudah Terpotong","(SOLVED)



Hari Minggu, 19 Januari 2025 pukul 09.19, saya membeli paket data Indosat Ooredoo IM3 Freedom Internet 150GB/28 hari melalui Aplikasi DANA. Namun paket tersebut tidak kunjung masuk padahal uang saya sudah terpotong.

SCROLL TO CONTINUE WITH CONTENT

Saya sudah konfirmasi dua kali tatap muka dan satu kali melalui telepon ke pihak Indosat Ooredoo IM3, diampaikan bahwa status transaksi gagal dan saldo telah dikembalikan dengan serial number 03671400029533333254. Saya diminta konfirmasi ke pihak DANA.

Mohon bantuan manajemen aplikasi DANA dan Indosat Ooredoo untuk dapat mengembalikan uang saya tersebut atau mengirimkan paket data yang sudah dibeli. Terima kasih.

Andreasandreasfranata@yahoo.comJawaban

Bapak Andreas menyampaikan bahwa dana sudah dikembalikan.",Jumat,24 Jan 2025,15:07 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7748091/paket-data-indosat-tidak-diterima-saldo-dana-sudah-terpotong
"Refund Ongkos Kirim Lama, Mohon Solusi Tokopedia","Saya memesan sebuah sparepart motor dari Tokopedia dengan nama toko R2 Motor Official, tujuan pengiriman adalah Jayapura dengan nomor INV/20241217/MPL/4347801397 dan ekspedisi yang dipilih SiCepat.

Tanggal pembelian adalah 17 Desember 2024 dan barang sudah mulai dikirimkan tanggal 18 Desember 2024. Namun barang tertahan lama dan tak sampai di tempat tujuan. Tanggal 24 Desember 2024, dikabarkan dari aplikasi Tokopedia kalau barang dikembalikan ke penjual.

Karena melebihi estimasi waktu pengiriman, saya melaporkan ke Pengaduan Tokopedia dan disuruh menunggu sampai tanggal 27 Desember 2024 untuk diproses, jika melewati tanggal tersebut maka dana akan dikembalikan.

SCROLL TO CONTINUE WITH CONTENT

Sebagai informasi, biaya yang saya keluarkan adalah Rp 410.920, tetapi dana refund yang masuk hanya harga barang. Ongkos kirim yang saya bayarkan (ada potongan ongkos kirim) itu tidak dikembalikan. Itu kurang lebih sebesar Rp 98.900.

Apalagi ini bukan kasus pertama, kasus pertama saya dengan nomor invoice INV/20240929/MPL/4182845475 menggunakan ekspedisi ID Express. Mohon itikad baik dari Tokopedia dan rekanan ekspedisi untuk menyelesaikan masalah ini. Terima kasih.

Marmuliamarmuliactc08@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Rabu,22 Jan 2025,10:54 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7743965/refund-ongkos-kirim-lama-mohon-solusi-tokopedia
"Paket Tak Kunjung Sampai, Mohon Tanggung Jawab Anteraja","Paket saya yang seharusnya sampai tanggal 15 Desember 2024, sampai dengan surat ini saya kirimkan belum sampai tujuan. Saya berkali-kali mengirimkan pengaduan hanya dijawab sedang ditangani pihak terkait.

Barang tersebut sebelumnya dijemput dari rumah saya oleh kurir Anteraja di Bintaro dengan tujuan Bali pada 11 Desember 2024. Tetapi setelah itu status di aplikasi sedang dalam proses.

Mohon kepada Anteraja untuk dapat secepatnya memberikan solusi atas permasalahan tersebut. Terima kasih.

SCROLL TO CONTINUE WITH CONTENT

Chindychindyanggrina11@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,16 Jan 2025,12:10 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7734999/paket-tak-kunjung-sampai-mohon-tanggung-jawab-anteraja
"Undangan Terlambat Sampai, Kecewa Layanan Tiki Express","Pada Kamis 19 Desember 2024 sekitar jam 15:30 an WIB, saya sudah di agen TiKi Express gerai Tlogomas Malang untuk mengirimkan surat dari MUI Kabupaten Malang ke area Tropodo Sidoarjo. Saya sudah mengatakan ke petugas agen TIKi Tlogomas tersebut bahwa itu adalah surat undangan untuk penerima surat agar hadir di acara yang dijadwalkan Senin 23 Desember 2024, dan petugas saya rekam video memasukkan dan mengelem surat tersebut.

Oleh petugas dijanjikan sekitar hari Sabtu, 21 Desember 2024 siang akan sampai di penerima di Sidoarjo tersebut. Hari Minggu 22 Desember 2024 saya lacak di situs TiKi, posisi terakhir 21 Desember 2024 jam 14:10 tiba di Tiki Sidoarjo, tak ada update lagi.

Saya menghubungi TiKi melalui chat website tetapi tak dijawab, padahal belum jam 16:00 wib. Senin, 23 Desember 2024 pagi hari belum ada update. Baru kemudian siang saya cek, surat diterima pada 23 Desember 2024 jam 11:01. Acara terpaksa batal. Siang hari itu juga saya ke Tiki tlogomas tapi tutup.

SCROLL TO CONTINUE WITH CONTENT

Kami merasa dirugikan atas pelayanan TiKi, mulai paket yang terlambat tidak sesuai janji, juga chat yang tak dibalas. Terima kasih.

Anasgogo.anas.anas.go@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,09 Jan 2025,23:11 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7725719/undangan-terlambat-sampai-kecewa-layanan-tiki-express
